Time outerCorrector residual
0.0134 9 5.77785e-05
0.0136 1 1
0.0136 2 0.999062
0.0136 3 0.308392
0.0136 4 0.533558
0.0136 5 0.00951257
0.0136 6 0.00405355
0.0136 7 0.00165505
0.0136 8 0.000600462
0.0136 9 6.35816e-05
0.0138 1 1
0.0138 2 0.999045
0.0138 3 0.313052
0.0138 4 0.529748
0.0138 5 0.0129169
0.0138 6 0.00382487
0.0138 7 0.00195729
0.0138 8 0.000688416
0.0138 9 0.000153077
0.0138 10 1.23516e-05
0.014 1 0.815746
0.014 2 0.814937
0.014 3 0.277312
0.014 4 0.442928
0.014 5 0.0153208
0.014 6 0.00401904
0.014 7 0.00198209
0.014 8 0.000931078
0.014 9 0.00065613
0.014 10 0.000196546
0.014 11 8.20108e-05
0.0142 1 0.430921
0.0142 2 0.43053
0.0142 3 0.169225
0.0142 4 0.252881
0.0142 5 0.011174
0.0142 6 0.00285393
0.0142 7 0.00134964
0.0142 8 0.000576584
0.0142 9 0.000285056
0.0142 10 0.000151845
0.0142 11 4.1449e-05
0.0144 1 0.252796
0.0144 2 0.252601
0.0144 3 0.126125
0.0144 4 0.161023
0.0144 5 0.00837451
0.0144 6 0.00218762
0.0144 7 0.00102011
0.0144 8 0.000490365
0.0144 9 3.18517e-05
0.0146 1 0.133698
0.0146 2 0.13364
0.0146 3 0.103345
0.0146 4 0.0841755
0.0146 5 0.00473205
0.0146 6 0.00149159
0.0146 7 0.000752762
0.0146 8 0.000329241
0.0146 9 1.32613e-05
0.0148 1 0.0496932
0.0148 2 0.049821
0.0148 3 0.0899186
0.0148 4 0.0109379
0.0148 5 0.00139309
0.0148 6 0.000524132
0.0148 7 0.000218001
0.0148 8 9.13909e-05
0.015 1 0.107198
0.015 2 0.10714
0.015 3 0.0809845
0.015 4 0.0656346
0.015 5 0.00463941
0.015 6 0.00132019
0.015 7 0.000607518
0.015 8 0.000293342
0.015 9 2.91786e-05
0.0152 1 0.255188
0.0152 2 0.255016
0.0152 3 0.0811382
0.0152 4 0.120532
0.0152 5 0.0115472
0.0152 6 0.00277023
0.0152 7 0.000792558
0.0152 8 0.000315017
0.0152 9 8.86266e-05
